,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,20809,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Ayşegül Akçay Kavakoğlu,MMB,Wednesday,15:30/17:29,213,100,56,-,"PEM_LS, PEME_LS",-,-
1,21165,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Osman Atilla Arıkan,INB,Wednesday,15:30/17:29,--,300,143,-,"CEV_LS, CEVE_LS",-,-
2,21196,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Himmet Karaman,INB,Wednesday,15:30/17:29,--,200,117,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",-,-
3,21455,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Onur Tunçer,MEDC,Wednesday,15:30/17:29,ZA1,300,163,-,"UCK_LS, UZBE_LS",-,-
4,21518,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),"Mikdat Kadıoğlu ,
Barış Çaldağ",MEDC,Wednesday,15:30/17:29,ZD1,75,60,-,"IBM_LS, MTO_LS",-,-
5,21569,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Abdullah Fişne,MDB,Wednesday,15:30/17:29,A204,120,66,-,MAD_LS,-,-
6,21571,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Ümit Avşar,MDB,Wednesday,15:30/17:29,A102,50,39,-,JEF_LS,-,-
7,21612,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Kudret Tahsin Perek,MDB,Wednesday,15:30/17:29,A203,200,51,-,CHZ_LS,-,-
8,21646,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Murat Çınar,MDB,Wednesday,15:30/17:29,A103,80,63,-,"PET_LS, PET_YD, PETE_LS",-,-
9,21689,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Zeynep Döner,MDB,Wednesday,15:30/17:29,A101,100,45,-,JEO_LS,-,-
10,21705,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),İsmail Yalçın Uralcan,MKB,Wednesday,15:30/17:29,A201,500,247,-,"IML_LS, MAK_LS",-,-
11,21775,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),İzzet Göksel,FEB,Wednesday,15:30/17:29,D204,160,120,-,MAT_LS,-,-
12,21838,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),-,FEB,Wednesday,15:30/17:29,--,0,0,-,"ARC_LS, CEN_LS, EEE_LS, EFN_LS, IAD_LS, IND_LS, MMD_LS, NAE_LS",-,-
13,21842,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Alper Gürarslan,MKB,Wednesday,15:30/17:29,D331,100,68,-,"TEK_LS, TEK_YD, TEKE_LS",-,-
14,21884,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Berna Morova,FEB,Wednesday,15:30/17:29,--,300,64,-,"FIZ_LS, FIZ_YD, FIZE_LS",-,-
15,22134,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Hakan Ali Çırpan,EEB,Wednesday,15:30/17:29,--,500,223,-,"EHB_LS, EHBE_LS",-,-
16,22135,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Suat İlhan,EEB,Wednesday,15:30/17:29,--,500,168,-,"EEE_LS, ELK_LS, ELKE_LS",-,-
17,22136,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),İlker Üstoğlu,EEB,Wednesday,15:30/17:29,--,500,144,-,"KOM_LS, KOME_LS, ROS_LS, ROSE_LS",-,-
18,22402,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Selma Ergin,MEDC,Wednesday,15:30/17:29,3D20,100,113,-,"GEM_LS, NAE_LS",-,-
19,22503,DAN 102,Girişimcilik & Kariyer Danış.,Virtual (Online),Murat Yılmaz,INB,Wednesday,15:30/17:29,--,300,310,-,"INS_LS, INSE_LS",-,-
20,22557,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Bülent Balta,FEB,Wednesday,15:30/17:29,--,150,57,-,"BIO_LS, BIOE_LS",-,-
21,22574,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Ayhan Menteş,MEDC,Wednesday,15:30/17:29,1D10,500,74,-,DEN_LS,-,-
22,22673,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Ayşe Tosun Kühn,BBB,Wednesday,15:30/17:29,--,200,194,-,"BLG_LS, BLGE_LS, CEN_LS, SECE_LS",-,-
23,22679,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Gülşen Eryiğit,BBB,Wednesday,15:30/17:29,--,70,65,-,"SECE_LS, YZVE_LS",-,-
24,22721,DAN 102,Girişimcilik & Kariyer Danış.,Virtual (Online),Ayşe Elvan Bayraktaroğlu,ISB,Wednesday,15:30/17:29,--,500,227,-,"END_LS, ENDE_LS, IND_LS, VBAE_LS",-,-
25,22819,DAN 102,Girişimcilik & Kariyer Danış.,Virtual (Online),Zehra Atik,ISB,Wednesday,15:30/17:29,--,100,91,-,"ECNE_LS, EFN_LS",-,-
26,22920,DAN 102,Girişimcilik & Kariyer Danış.,Physical (Face to face),Ethem Gürer,MMB,Wednesday,15:30/17:29,215,200,64,-,"IAD_LS, ICM_LS",-,-
27,22960,DAN 102,Girişimcilik & Kariyer Danış.,Virtual (Online),Ekrem Cem Alppay,MMB,Wednesday,15:30/17:29,216,200,82,-,"ENTE_LS, EUT_LS, EUT_YD, EUTE_LS",-,-
28,22974,DAN 102,Girişimcilik & Kariyer Danış.,Virtual (Online),"Derya Gültekin ,
Kaya Tokmakçıoğlu",ISB,Wednesday,15:30/17:29,--,150,129,-,"ISL_LS, ISLE_LS",-,-
