,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24285,DFH 112,Denizde Güvenlik II,Physical (Face to face),Yusuf Nejat Koçar,DZB,Monday,08:30/11:29,--,120,17,-,"DUI_LS, GMI_LS",-,-
1,24358,DFH 112,Denizde Güvenlik II,Physical (Face to face),Sinan Çakır,DZB,Monday,11:30/14:29,--,90,75,-,"DUI_LS, GMI_LS",-,-
2,24361,DFH 112,Denizde Güvenlik II,Physical (Face to face),Yusuf Nejat Koçar,DZB,Monday,14:30/17:29,--,120,15,-,"DUI_LS, GMI_LS",-,-
3,24618,DFH 112E,Maritime Safety II,Physical (Face to face),Hakan Çap,DZB,Friday,14:00/16:59,--,55,56,-,"MEN_LS, MTM_LS",-,-
4,25144,DFH 112E,Maritime Safety II,Physical (Face to face),Yusuf Nejat Koçar,DZB,Friday,14:00/16:59,--,40,32,-,"MEN_LS, MTM_LS",-,-
5,25143,DFH 113E,Maritime Safety I,Physical (Face to face),Hakan Çap,DZB,Thursday,08:30/12:29,--,40,15,-,"MEN_LS, MTM_LS",-,-
6,24619,DFH 172E,Maritime English I,Physical (Face to face),Seda Çınar Alabay,DZB,Thursday,09:30/11:29,--,60,37,-,MTM_LS,-,-
7,24698,DFH 172E,Maritime English I,Physical (Face to face),Seda Çınar Alabay,DZB,Thursday,13:30/15:29,--,60,21,-,MMD_LS,-,-
8,24750,DFH 172E,Maritime English I,Physical (Face to face),Seda Çınar Alabay,DZB,Friday,08:30/10:29,--,60,22,-,DUI_LS,-,-
9,24751,DFH 172E,Maritime English I,Physical (Face to face),Seda Çınar Alabay,DZB,Tuesday,13:30/15:29,--,60,11,-,DUI_LS,-,-
10,25099,DFH 172E,Maritime English I,Physical (Face to face),Seda Çınar Alabay,DZB,Wednesday,13:30/15:29,--,30,30,-,DUI_LS,-,-
11,25265,DFH 180E,Rowing and Canoe-Kayak Sports,Physical (Face to face),-,DZB,Monday,15:30/18:29,--,0,0,-,"MEN_LS, MTM_LS",-,-
12,24277,DFH 184,Denizcilik Gelenekleri,Physical (Face to face),"Gizem Çevik ,
Cenk Ay",DZB,Thursday,08:30/11:29,--,60,25,-,DUI_LS,-,-
13,24278,DFH 186,Gemicilik Uygulamaları,Physical (Face to face),Orhan Gönel,DZB,Thursday,11:30/14:29,--,60,6,-,DUI_LS,-,-
14,24297,DFH 202,Gemilerde Acil Durum. Müdahale,Physical (Face to face),Orhan Gönel,DZB,Tuesday,10:30/12:29,--,70,29,-,DUI_LS,-,Detail
15,24298,DFH 202,Gemilerde Acil Durum. Müdahale,Physical (Face to face),Orhan Gönel,DZB,Tuesday,13:30/15:29,--,70,59,-,DUI_LS,-,Detail
16,24634,DFH 202E,Ship Emergency Response,Physical (Face to face),Orhan Gönel,DZB,Thursday,15:30/17:29,--,60,57,-,"MEN_LS, MTM_LS, NAE_LS",-,Detail
17,25056,DFH 203,Temel Yüzme Becerisi,Physical (Face to face),Birgül Arslanoğlu,DZB,Friday,08:30/10:29,--,45,34,-,"DUI_LS, GMI_LS",-,-
18,25124,DFH 203,Temel Yüzme Becerisi,Physical (Face to face),Hakan Çap,DZB,Tuesday,10:30/12:29,--,30,8,-,"DUI_LS, GMI_LS",-,-
19,24279,DFH 225,Türk Denizcilik Tarihi&Kültürü,Physical (Face to face),Muhsin Kadıoğlu,DZB,Thursday,15:30/17:29,--,60,21,-,DUI_LS,-,-
20,24326,DFH 226,Ekonomik Coğrafya,Physical (Face to face),-,DZB,Thursday,10:30/13:29,--,0,0,-,DUI_LS,-,-
21,24635,DFH 232E,Business Logistics,Physical (Face to face),"Pelin Bolat ,
Banu Evrim Taşyar",DZB,Friday,14:30/16:29,--,60,47,-,"MTM_LS, NAE_LS",-,-
22,24282,DFH 254E,Maritime Conventions,Physical (Face to face),Gizem Kayişoğlu,DZB,Tuesday,13:30/15:29,--,70,21,-,DUI_LS,-,-
23,24283,DFH 254E,Maritime Conventions,Physical (Face to face),Gizem Kayişoğlu,DZB,Tuesday,15:30/17:29,--,70,63,-,DUI_LS,-,-
24,24629,DFH 254E,Maritime Conventions,Physical (Face to face),Gizem Kayişoğlu,DZB,Thursday,09:30/11:29,--,60,51,-,"MTM_LS, NAE_LS",-,-
25,24295,DFH 278E,Maritime Economics,Physical (Face to face),Levent Kırval,DZB,Wednesday,09:30/11:29,--,70,36,-,DUI_LS,-,-
26,24296,DFH 278E,Maritime Economics,Physical (Face to face),Levent Kırval,DZB,Wednesday,11:30/13:29,--,70,46,-,DUI_LS,-,-
27,24633,DFH 278E,Maritime Economics,Physical (Face to face),Levent Kırval,DZB,Monday,14:30/16:29,--,60,38,-,MTM_LS,-,-
28,24946,DFH 278E,Maritime Economics,Physical (Face to face),Rofaida Benotsmane,ISB,Tuesday,09:30/11:29,107,50,24,-,MMD_LS,-,-
29,24309,DFH 282,Akışkanlar Mekaniği,Physical (Face to face),Melek Ertogan,DZB,Monday,08:30/10:29,--,150,26,-,DUI_LS,-,-
30,24310,DFH 282,Akışkanlar Mekaniği,Physical (Face to face),Melek Ertogan,DZB,Monday,10:30/12:29,--,95,94,-,DUI_LS,-,-
31,25140,DFH 351E,Shipping Finance,Physical (Face to face),Sinan Çakır,DZB,Monday,17:30/19:29,--,60,48,-,"MEN_LS, MTM_LS",-,-
32,25312,DFH 361E,Ship Supply Chain Management,Physical (Face to face),-,DZB,Thursday,09:30/11:29,--,0,0,-,MTM_LS,-,-
33,24321,DFH 414E,Port Management,Physical (Face to face),Tanzer Satır,DZB,Tuesday,13:30/15:29,--,60,22,-,DUI_LS,-,-
34,24707,DFH 414E,Port Management,Physical (Face to face),Muhittin Orhan,DZB,Monday,14:30/16:29,--,50,20,-,MMD_LS,-,-
35,24327,DFH 472E,Commercial Ship Management,Physical (Face to face),Pelin Bolat,DZB,Thursday,08:30/11:29,--,60,12,-,DUI_LS,-,-
36,24721,DFH 472E,Commercial Ship Management,Physical (Face to face),Ahmet Yaşar Canca,MED,Thursday,11:30/14:29,A35,50,12,-,MMD_LS,-,-
37,24328,DFH 474,Denizcilikte Yön.Dav.&Perf.,Physical (Face to face),Leyla Tavacıoğlu,DZB,Wednesday,08:30/11:29,--,50,39,-,DUI_LS,-,-
38,24323,DFH 482E,Cargo Handling Simulator,Physical (Face to face),Yunus Emre Şenol,DZB,Monday,08:30/10:29,--,52,46,-,DUI_LS,-,-
39,24324,DFH 482E,Cargo Handling Simulator,Physical (Face to face),Yunus Emre Şenol,DZB,Monday,11:30/13:29,--,45,41,-,DUI_LS,-,-
40,24325,DFH 486E,Chartering,Physical (Face to face),Emre Akyüz,DZB,Thursday,13:30/15:29,--,60,11,-,DUI_LS,-,-
41,24306,DFH 490E,E-Navigation Systems,Physical (Face to face),Serdar Kum,DZB,Wednesday,09:30/11:29,--,75,48,-,DUI_LS,-,-
42,24307,DFH 490E,E-Navigation Systems,Physical (Face to face),Serdar Kum,DZB,Wednesday,11:30/13:29,--,75,50,-,DUI_LS,-,-
43,24308,DFH 490E,E-Navigation Systems,Physical (Face to face),Serdar Kum,DZB,Thursday,12:30/14:29,--,60,57,-,MTM_LS,-,-
44,25267,DFH 494E,Intercult.Comm.in Marit.Domain,Physical (Face to face),Cenk Ay,DZB,Tuesday,15:30/17:29,--,30,4,-,"MEN_LS, MTM_LS",-,-
45,24329,DFH 495,Gemiadamı Sağlığı&İş Emniyeti,Physical (Face to face),Esma Uflaz,DZB,Thursday,14:30/17:29,--,40,25,-,DUI_LS,-,-
46,24330,DFH 497E,Org.Mngt &Behavior in Maritime,Physical (Face to face),Leyla Tavacıoğlu,DZB,Monday,14:30/17:29,--,50,17,-,DUI_LS,-,-
