,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22722,END 112E,Intr. to Manufacturing Systems,Physical (Face to face),Vehbi Tufan Koç,ISB,Thursday,09:30/12:29,103,130,58,-,"END_LS, ENDE_LS",-,-
1,22723,END 112E,Intr. to Manufacturing Systems,Physical (Face to face),Vehbi Tufan Koç,MSB,Thursday,14:30/17:29,216,130,127,-,"END_LS, ENDE_LS",-,-
2,22724,END 201E,Industrial Engineering Applications in Python,Virtual (Online),Mehmet Ali Ergün,ISB,Tuesday,09:30/12:29,--,130,88,-,"END_LS, ENDE_LS",Detail,-
3,22725,END 201E,Industrial Engineering Applications in Python,Virtual (Online),Mehmet Yasin Ulukuş,ISB,Tuesday,14:30/17:29,--,140,141,-,"END_LS, ENDE_LS",Detail,-
4,22726,END 210,End. Müh.için Doğrusal Cebir,Physical (Face to face),Cafer Erhan Bozdağ,MSB,Friday,09:30/12:29,204,60,60,-,END_LS,-,-
5,22727,END 210E,Linear Algebra for Indust.Eng.,Physical (Face to face),Erkan Işıklı,MSB,Friday,09:30/12:29,B13-A,70,68,IND/10/10 | Diğer/60/58,"ENDE_LS, IND_LS, VBAE_LS",-,-
6,22728,END 215E,System Thinking and Analysis,Physical (Face to face),Çiğdem Kadaifçi Yanmaz,MSB,Tuesday,14:30/16:29,204,60,51,IND/10/8 | Diğer/50/43,"END_LS, ENDE_LS, IND_LS",-,-
7,22729,END 232,İşbilim,Physical (Face to face),Ayşe Elvan Bayraktaroğlu,ISB,Monday,14:30/17:29,203,80,74,-,END_LS,-,-
8,22730,END 232E,Ergonomics,Physical (Face to face),Fethi Çalışır,ISB,Wednesday,09:30/12:29,104,90,61,END/10/5 | Diğer/80/56,"END_LS, ENDE_LS",-,-
9,22731,END 252E,Theory of Probability,Physical (Face to face),Mehmet Güray Güler,ISB,Tuesday,09:30/12:29,204,65,65,IND/5/5 | VBA/4/4 | Diğer/56/56,"END_LS, ENDE_LS, IND_LS, VBAE_LS",Detail,-
10,25509,END 305E,Data Analytics for Business,Ek Sınav,Mehmet Yasin Ulukuş,-,-,-/-,-,0,1,-,-,Detail,-
11,22732,END 308,Kalite Mühendisliği,Physical (Face to face),Hüsnü Bülent Cerit,MSB,Wednesday,09:30/11:29,113,60,30,-,END_LS,Detail,-
12,22733,END 308,Kalite Mühendisliği,Physical (Face to face),Hüsnü Bülent Cerit,MSB,Thursday,14:30/16:29,204,70,70,-,END_LS,Detail,-
13,22734,END 308E,Quality Engineering,Physical (Face to face),Seda Yanık Özbay,MSB,Thursday,10:30/12:29,104,90,89,-,"END_LS, ENDE_LS, IND_LS",Detail,-
14,22735,END 311,İstatistik,Physical (Face to face),Cengiz Kahraman,MSB,Tuesday,09:30/12:29,216,100,111,-,END_LS,Detail,-
